,city,lat,lon,population
475,Valley Center,33.233,-117.016,11077
476,Orange Cove,36.621,-119.319,11059
477,Soquel,36.998,-121.948,10883
478,La Riviera,38.568,-121.354,10840
479,Sierra Madre,34.169,-118.05,10793
480,Farmersville,36.305,-119.208,10703
481,Anderson,40.45,-122.295,10630
482,Morro Bay,35.368,-120.848,10543
483,Fairview,37.676,-122.048,10532
484,San Diego Country Estates,33.009,-116.787,10514
485,Exeter,36.294,-119.146,10485
486,Oak Hills,34.391,-117.412,10444
487,Shasta Lake,40.679,-122.378,10413
488,Rodeo,38.037,-122.253,10409
489,Fort Bragg,39.44,-123.801,10374
490,East Whittier,33.924,-117.989,10356
491,Citrus,34.116,-117.889,10150
492,Charter Oak,34.102,-117.856,10048
493,Capitola,36.977,-121.954,10010
494,Quartz Hill,34.653,-118.216,10003
495,Del Aire,33.917,-118.369,9990
496,Country Club,37.969,-121.341,9977
497,Garden Acres,37.964,-121.23,9972
498,Orland,39.746,-122.186,9964
499,Fort Irwin,35.248,-116.683,9872
500,Madera Acres,37.012,-120.08,9857
501,Marina del Rey,33.976,-118.449,9852
502,Mentone,34.061,-117.111,9793
503,Corte Madera,37.924,-122.513,9751
504,Rio Vista,38.176,-121.702,9718
505,West Athens,33.924,-118.303,9706
506,Rio del Mar,36.961,-121.881,9657
507,Waterford,37.643,-120.755,9648
508,Blackhawk,37.816,-121.907,9604
509,Bishop,37.366,-118.396,9597
510,Golden Hills,35.151,-118.502,9351
511,Gridley,39.362,-121.697,9237
512,Cloverdale,38.796,-123.015,9205
513,Good Hope,33.771,-117.277,9195
514,Calimesa,33.987,-117.054,9160
515,Tiburon,37.885,-122.464,9084
516,Lake Arrowhead,34.253,-117.194,8940
517,Needles,34.816,-114.619,8752
518,Crestline,34.249,-117.289,8709
519,Earlimart,35.882,-119.272,8668
520,Corning,39.928,-122.182,8604
521,Ione,38.361,-120.942,8568
522,Los Altos Hills,37.367,-122.139,8423
523,August,37.98,-121.262,8405
524,Spring Valley Lake,34.499,-117.268,8403
525,Midway City,33.745,-117.985,8343
526,Larkfield-Wikiup,38.513,-122.754,8312
527,Gonzales,36.506,-121.443,8306
528,Orosi,36.543,-119.29,8300
529,Firebaugh,36.853,-120.454,8296
530,Alondra Park,33.888,-118.335,8272
531,Montecito,34.438,-119.629,8245
532,Mammoth Lakes,37.627,-118.99,8235
533,Westlake Village,34.137,-118.822,8217
534,Pismo Beach,35.148,-120.649,8168
535,South San Gabriel,34.049,-118.096,8138
536,Cherry Valley,33.98,-116.969,8115
537,Vandenberg Village,34.711,-120.462,8114
538,Rolling Hills Estates,33.778,-118.351,8058
539,Willits,39.405,-123.349,8055
540,Topanga,34.096,-118.605,7900
541,Woodlake,36.412,-119.1,7854
542,Templeton,35.556,-120.718,7838
543,Winters,38.532,-121.978,7820
544,Interlaken,36.95,-121.736,7817
545,Guadalupe,34.961,-120.574,7783
546,Oroville East,39.495,-121.487,7771
547,Boyes Hot Springs,38.313,-122.489,7728
548,Sebastopol,38.4,-122.828,7674
549,Holtville,32.813,-115.378,7664
550,Piñon Hills,34.444,-117.621,7661
551,Escalon,37.791,-120.998,7601
552,Joshua Tree,34.124,-116.313,7581
553,Plumas Lake,38.992,-121.558,7573
554,Hughson,37.602,-120.866,7565
555,Jackson,38.348,-120.773,7550
556,Gold River,38.627,-121.249,7538
557,Fairfax,37.989,-122.595,7522
558,Yreka,41.729,-122.631,7518
559,Dos Palos,36.985,-120.634,7494
560,Oceano,35.102,-120.609,7487
561,Mount Shasta,41.321,-122.315,7472
562,Ojai,34.449,-119.247,7470
563,Cotati,38.328,-122.709,7410
564,Camp Pendleton North,33.315,-117.316,7367
565,University of California-Davis,38.537,-121.758,7311
566,Huron,36.204,-120.096,7281
567,Alta Sierra,39.124,-121.052,7280
568,Willows,39.515,-122.2,7234
569,Acton,34.496,-118.186,7232
570,Nuevo,33.801,-117.142,7182
571,Pollock Pines,38.756,-120.59,7156
572,Atherton,37.454,-122.203,7137
573,Calipatria,33.149,-115.506,7114
574,Homeland,33.746,-117.113,7086
575,Sausalito,37.858,-122.493,7068
576,St. Helena,38.506,-122.468,7059
577,Rancho Calaveras,38.125,-120.857,7026
578,Kentfield,37.948,-122.55,7020
579,Franklin,37.328,-120.532,6929
580,Thermalito,39.491,-121.615,6894
581,Colusa,39.206,-122.012,6891
582,Ben Lomond,37.078,-122.088,6890
583,Loomis,38.809,-121.196,6866
584,Lemoore Station,36.263,-119.905,6858
585,San Martin,37.083,-121.596,6803
586,Thousand Palms,33.815,-116.354,6794
587,Lake Mathews,33.825,-117.368,6792
588,Fowler,36.624,-119.674,6790
589,Desert Palms,33.779,-116.293,6755
590,Bermuda Dunes,33.743,-116.287,6704
591,Lucas Valley-Marinwood,38.04,-122.576,6686
592,Mecca,33.577,-116.064,6635
593,Mira Monte,34.428,-119.285,6633
594,Ladera Heights,33.997,-118.374,6620
595,South Monrovia Island,34.123,-117.996,6572
596,Contra Costa Centre,37.926,-122.054,6558
597,Keyes,37.562,-120.909,6548
598,Castroville,36.765,-121.754,6521
599,La Habra Heights,33.96,-117.951,6492
600,Aptos,36.991,-121.893,6387
601,El Rio,34.245,-119.157,6297
602,East Porterville,36.057,-118.971,6291
603,Salton City,33.299,-115.961,6250
604,East Foothills,37.383,-121.814,6233
605,Saranap,37.888,-122.076,6231
606,East Pasadena,34.138,-118.078,6143
607,Eucalyptus Hills,32.885,-116.945,6129
608,Fruitridge Pocket,38.533,-121.456,6116
609,El Granada,37.513,-122.466,6102
610,Pleasure Point,36.962,-121.972,6076
611,Durham,39.623,-121.788,5987
612,Lucerne Valley,34.443,-116.902,5956
613,Paradise,39.756,-121.606,5928
614,Greenacres,35.383,-119.118,5911
615,Gustine,37.254,-120.995,5882
616,Mayflower Village,34.116,-118.01,5873
617,Las Flores,33.584,-117.624,5861
618,Old Fig Garden,36.799,-119.805,5850
619,Silver Lakes,34.752,-117.343,5849
620,Villa Park,33.818,-117.81,5790
621,Highgrove,34.011,-117.31,5786
622,West Modesto,37.618,-121.034,5762
623,Hilmar-Irwin,37.404,-120.85,5755
624,Rancho Murieta,38.508,-121.072,5744
625,Wilton,38.413,-121.213,5665
626,Cambria,35.552,-121.085,5647
627,Elverta,38.718,-121.446,5606
628,Hidden Valley Lake,38.8,-122.55,5539
629,Strawberry,37.892,-122.508,5527
630,Yosemite Lakes,37.188,-119.772,5524
631,Indian Wells,33.704,-116.34,5470
632,Williams,39.15,-122.139,5469
633,Woodside,37.422,-122.259,5458
634,Jamul,32.718,-116.871,5445
635,Palermo,39.431,-121.522,5395
636,Kensington,37.908,-122.28,5329
637,Bear Valley Springs,35.178,-118.646,5292
638,Garnet,33.918,-116.48,5285
639,Big Bear Lake,34.243,-116.895,5279
640,Calistoga,38.582,-122.582,5247
