city,lat,lon,population
Farmersville,36.2977,-119.2068,10703.0
Anderson,40.4482,-122.2978,10630.0
Morro Bay,35.3658,-120.8499,10543.0
Exeter,36.2961,-119.1421,10485.0
Shasta Lake,40.6804,-122.3708,10413.0
Fort Bragg,39.4457,-123.8053,10374.0
Capitola,36.9752,-121.9533,10010.0
Orland,39.7474,-122.1964,9964.0
Rio Vista,38.1558,-121.6913,9718.0
Waterford,37.6413,-120.7605,9648.0
Bishop,37.3635,-118.3951,9597.0
Gridley,39.3638,-121.6936,9237.0
Cloverdale,38.8055,-123.0172,9205.0
Calimesa,34.0039,-117.062,9160.0
Needles,34.8481,-114.6141,8752.0
Corning,39.9277,-122.1792,8604.0
Ione,38.3527,-120.9327,8568.0
Gonzales,36.5066,-121.4444,8306.0
Firebaugh,36.8588,-120.456,8296.0
Westlake Village,34.1458,-118.8056,8217.0
Pismo Beach,35.1428,-120.6413,8168.0
Rolling Hills Estates,33.7878,-118.3581,8058.0
Willits,39.4096,-123.3556,8055.0
Woodlake,36.4136,-119.0987,7854.0
Winters,38.5249,-121.9708,7820.0
Guadalupe,34.9716,-120.5718,7783.0
Sebastopol,38.4021,-122.8239,7674.0
Holtville,32.8112,-115.3803,7664.0
Escalon,37.7974,-120.9966,7601.0
Hughson,37.6027,-120.8665,7565.0
Jackson,38.3488,-120.7741,7550.0
Yreka,41.7354,-122.6345,7518.0
Dos Palos,36.9861,-120.6266,7494.0
Mount Shasta,41.4108,-122.1946,7472.0
Ojai,34.448,-119.2429,7470.0
Cotati,38.3278,-122.7092,7410.0
Huron,36.2027,-120.1029,7281.0
Willows,39.5243,-122.1936,7234.0
Calipatria,33.1256,-115.5142,7114.0
Sausalito,37.8591,-122.4852,7068.0
St. Helena,38.5052,-122.4704,7059.0
Colusa,39.2143,-122.0094,6891.0
Fowler,36.6305,-119.6785,6790.0
La Habra Heights,33.9608,-117.9506,6492.0
Gustine,37.2577,-120.9988,5882.0
Villa Park,33.8145,-117.8131,5790.0
Indian Wells,33.7176,-116.3408,5470.0
Williams,39.1546,-122.1494,5469.0
Big Bear Lake,34.2439,-116.9114,5279.0
Calistoga,38.5788,-122.5797,5247.0
Buellton,34.6136,-120.1926,5102.0
Brisbane,37.6808,-122.4,4671.0
Del Mar,32.9595,-117.2653,4319.0
Rio Dell,40.4993,-124.1064,4056.0
San Joaquin,36.6066,-120.189,4021.0
Angels,38.0678,-120.5385,3956.0
Wheatland,39.0099,-121.423,3873.0
Avalon,33.3428,-118.3282,3681.0
Monte Sereno,37.2363,-121.9925,3427.0
Colfax,39.1007,-120.9533,3205.0
Nevada City,39.2616,-121.0161,3148.0
Weed,41.4226,-122.3861,2725.0
Alturas,41.4871,-120.5425,2638.0
Sutter Creek,38.393,-120.8024,2622.0
Portola,39.8105,-120.4691,2313.0
Westmorland,33.0373,-115.6214,2254.0
Belvedere,37.8727,-122.4644,2104.0
San Juan Bautista,36.8455,-121.538,2104.0
Hidden Hills,34.1603,-118.6523,1890.0
Biggs,39.4124,-121.7128,1879.0
Rolling Hills,33.757,-118.354,1845.0
Del Rey Oaks,36.5933,-121.835,1654.0
Dunsmuir,41.2082,-122.272,1564.0
Irwindale,34.107,-117.9353,1446.0
Montague,41.7282,-122.5278,1398.0
Ferndale,40.5762,-124.2639,1352.0
Blue Lake,40.8829,-123.984,1245.0
Maricopa,35.0589,-119.401,1192.0
Plymouth,38.4819,-120.8447,1076.0
Bradbury,34.1469,-117.9709,1070.0
Tulelake,41.956,-121.4775,978.0
Dorris,41.9674,-121.9181,897.0
Isleton,38.1619,-121.6116,844.0
Etna,41.4568,-122.8948,718.0
Loyalton,39.6763,-120.241,702.0
Fort Jones,41.6639,-124.2529,692.0
Point Arena,38.9088,-123.6931,449.0
Sand City,36.6172,-121.8483,399.0
Tehama,40.0271,-122.1233,373.0
Trinidad,41.0593,-124.1431,355.0
Industry,34.0197,-117.9587,202.0
Amador City,38.4194,-120.8241,190.0
Vernon,34.0039,-118.2301,110.0
