city_name,PC1,PC2,lat,lon
Discovery Bay,0.9073186067083413,-0.15014618809239982,37.907,-121.608
Fillmore,-1.0237177341820736,-0.31652049510527547,34.399,-118.918
King City,0.24629659364190634,-0.49956431041837107,36.217,-121.133
McFarland,-0.5354194725235493,-0.04011287915025799,35.678,-119.241
Pacific Grove,0.6265804492051724,-0.639494950343916,36.619,-121.926
Coto de Caza,-1.7006734582618528,-0.11967330872970205,33.596,-117.586
Tehachapi,-0.9513902885651131,0.04641857913910974,35.127,-118.475
Taft,-0.6401144019201674,-0.264857307505836,35.127,-119.424
Livingston,0.4625376086311811,-0.015671953487818135,37.388,-120.725
Alpine,-2.197068832134855,-0.07289390042775667,32.844,-116.758
North Auburn,1.0409099609406922,0.32850547462307544,38.931,-121.082
California City,-1.1399094078072325,0.2534723990896099,35.158,-117.872
Oak Park,-1.1372209647275116,-0.33096648880479235,34.185,-118.767
Avenal,-0.14288767362328464,-0.22158824740346855,36.031,-120.116
Big Bear City,-1.7650577333554633,0.3381249362385864,34.254,-116.79
Grover Beach,-0.2499141311820422,-0.659242833242631,35.12,-120.62
Fortuna,2.539359423420021,-0.18043012745717912,40.586,-124.142
Carpinteria,-0.8297801418022676,-0.5122517681987959,34.396,-119.512
Palos Verdes Estates,-1.3772352966494008,-0.32891379823567335,33.787,-118.398
Grand Terrace,-1.6601767245935037,0.09991366109052868,34.031,-117.313
Emeryville,1.1113740839292745,-0.3954563217287599,37.838,-122.293
Healdsburg,1.5336656532755355,-0.34840143765310605,38.623,-122.865
Malibu,-1.1758890193753526,-0.3807866827001935,34.037,-118.784
Newman,0.5381026523394289,-0.13428533432520728,37.316,-121.021
Lake Los Angeles,-1.3161964019560928,0.10211371619998422,34.61,-117.834
Mendota,0.15978581897579427,-0.09078890085491625,36.756,-120.378
Tamalpais-Homestead Valley,1.203991905541138,-0.46356050691986306,37.879,-122.538
Los Alamitos,-1.4854392171732265,-0.21473094199946785,33.797,-118.059
Anderson,1.8928790961572792,0.3847366741171825,40.45,-122.295
Morro Bay,-0.100990394570807,-0.659888964186812,35.368,-120.848
Oak Hills,-1.520083476314532,0.17506209845727616,34.391,-117.412
Garden Acres,0.8003730253834774,-0.009120673206962415,37.964,-121.23
Orland,1.6466681126701919,0.21003058345263903,39.746,-122.186
Fort Irwin,-1.503001066670363,0.6703744793641683,35.248,-116.683
Madera Acres,0.13857097563042306,0.08348669672741155,37.012,-120.08
Marina del Rey,-1.3040061452960687,-0.28914106462500233,33.976,-118.449
Rio Vista,1.0185676770183965,-0.10056188773939984,38.176,-121.702
Rio del Mar,0.7140600655886562,-0.5224949653639664,36.961,-121.881
Blackhawk,0.9781876737763717,-0.2754235701430947,37.816,-121.907
Bishop,-0.30796075910983184,0.7416727556859574,37.366,-118.396
Gridley,1.3714785442850164,0.2556290204823797,39.362,-121.697
Cloverdale,1.6345840615150755,-0.3458842580684516,38.796,-123.015
Lake Arrowhead,-1.6328430255525095,0.20531233486439548,34.253,-117.194
Needles,-2.30914653120338,1.2182299211223246,34.816,-114.619
Crestline,-1.6028784236209392,0.1729561586478746,34.249,-117.289
Corning,1.6997644112707917,0.26575091481737234,39.928,-122.182
Gonzales,0.43437348429585876,-0.5148499589845085,36.506,-121.443
Orosi,-0.2607583022827662,0.20240388972992607,36.543,-119.29
Firebaugh,0.21371196844007753,-0.08671937390910196,36.853,-120.454
Mammoth Lakes,-0.035101215326594215,0.6248634339958683,37.627,-118.99
Topanga,-1.2169638921212425,-0.3044360892512567,34.096,-118.605
Templeton,-0.08742893129153975,-0.5610464360733172,35.556,-120.718
Winters,1.215521863061268,-0.08466596242150748,38.532,-121.978
Piñon Hills,-1.4356864407138235,0.12235342213219047,34.444,-117.621
Escalon,0.6725582813116056,0.01525848304071531,37.791,-120.998
Plumas Lake,1.215275664329204,0.19061127908008824,38.992,-121.558
Yreka,2.3854414110575166,0.6568802368304866,41.729,-122.631
Dos Palos,0.3122136813347233,-0.10629913540031838,36.985,-120.634
Mount Shasta,2.159821828341799,0.638559242481054,41.321,-122.315
Cotati,1.3943077126173802,-0.3854221005101901,38.328,-122.709
Camp Pendleton North,-1.873238610810199,-0.11511624969926437,33.315,-117.316
Willows,1.5822034625294161,0.1363818186374104,39.515,-122.2
Acton,-1.2348188938949354,-0.04742365898231615,34.496,-118.186
Pollock Pines,0.827216258463356,0.437567802133744,38.756,-120.59
Homeland,-1.8109773775981888,0.08031464629235396,33.746,-117.113
St. Helena,1.36847125343815,-0.25316058565057786,38.506,-122.468
Rancho Calaveras,0.726157930240575,0.16135528690527684,38.125,-120.857
Franklin,0.3812960110593995,0.029696029809679697,37.328,-120.532
Colusa,1.4281641358160688,0.10567203183818263,39.206,-122.012
Loomis,1.0418309199840239,0.25464149988869444,38.809,-121.196
Lake Mathews,-1.7037195371776355,0.020290397999611964,33.825,-117.368
Salton City,-2.3224673088046526,0.32454615115538055,33.299,-115.961
Eucalyptus Hills,-2.1234752480629324,-0.12197384807891831,32.885,-116.945
Durham,1.4793520280235675,0.30380575883697336,39.623,-121.788
Lucerne Valley,-1.671820332175641,0.35788942002276725,34.443,-116.902
Mayflower Village,-1.4061473932410418,-0.10329471670669355,34.116,-118.01
Silver Lakes,-1.4347959692966752,0.3056141706563802,34.752,-117.343
Cambria,0.03175278462045311,-0.6826197262702611,35.552,-121.085
Yosemite Lakes,0.09016034848036819,0.23712659241537515,37.188,-119.772
Williams,1.4530796359519653,0.047274491712949285,39.15,-122.139
Boulder Creek,0.8464668669977545,-0.5514661789488706,37.134,-122.127
Tara Hills,1.1665378889692688,-0.3573487296556096,37.994,-122.319
Guerneville,1.5417529614870809,-0.42165914512960223,38.514,-122.989
Camino Tassajara,0.9634979140345384,-0.27568114968221763,37.791,-121.885
Santa Venetia,1.2304780039716905,-0.414114121803174,38.006,-122.503
Planada,0.3004282222663231,0.0872459693244689,37.289,-120.321
Copperopolis,0.5945440498853475,0.17996728229650116,37.936,-120.628
Del Mar,-1.995852096410467,-0.20296130117480915,32.963,-117.263
Ivanhoe,-0.32975639395424106,0.17932637143073402,36.389,-119.22
Carmel Valley Village,0.5180558958990087,-0.6128818162973736,36.482,-121.72
Lenwood,-1.4718180624700452,0.4227540023756574,34.886,-117.108
Rio Dell,2.503751762371502,-0.19504552639265893,40.502,-124.11
San Joaquin,0.053279031175876554,-0.07396614874071429,36.606,-120.19
Wrightwood,-1.4608354017023686,0.0913003874243522,34.35,-117.63
Burney,1.8175903841083794,0.7201090896546576,40.885,-121.669
Angels,0.6093175464936493,0.24590941780534323,38.071,-120.55
Clearlake Riviera,1.5844876092042464,-0.2031143022157148,38.951,-122.721
Mojave,-1.0786524425622024,0.10611875958629285,35.014,-118.19
Arbuckle,1.3868385536575096,0.03220204831902451,39.014,-122.061
Brooktrails,1.9529721922023033,-0.2774352481646226,39.443,-123.396
Forestville,1.4997142588911578,-0.3987530368133011,38.482,-122.89
